Modèle,Accuracy,F1-Score,CV Mean,CV Std
SVM (Linear),0.87,0.8699890778592605,0.8572,0.00805977667184396
Logistic Regression,0.86,0.8598923697866614,0.8576,0.01107429455992571
Random Forest,0.853,0.8529845642436479,0.836,0.011296016997154362
Naive Bayes,0.85,0.8500024000384007,0.8564,0.015882065356873473
Decision Tree,0.723,0.7222238171820244,0.7070000000000001,0.010430723848324247
KNN (k=5),0.707,0.706875397123202,0.7114,0.015014659503298783
